Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2020-01-01,991.8499755859376,997.0,985.0,987.25,276090,987.25,987.25,,12.0,,,False,False,False,False,0,
2020-01-02,987.25,989.7000122070312,974.0,978.5999755859376,745960,986.4261881510416,986.9107833563114,0.0,12.264286586216517,,,False,False,False,False,0,
2020-01-03,979.0,983.5,968.5999755859376,971.7000122070312,410943,985.023695203993,986.3142825269279,0.0,12.452553573919793,,,False,False,False,False,0,
2020-01-06,970.0,978.0,958.2000122070312,964.3499755859376,692545,983.0547695260831,985.452937156693,0.0,12.977370303851863,,,False,False,False,False,0,
2020-01-07,972.0,989.0,964.4500122070312,967.5,614315,981.5733629045513,984.7489004054501,2.7904911428658608,13.811131311724045,,,False,False,False,False,0,
2020-01-08,961.9000244140624,999.75,955.5499877929688,995.6500244140624,772315,982.9139973340286,985.1763954646113,23.36977615680199,15.981765661388845,,,False,False,False,False,0,
2020-01-09,995.1500244140624,1037.6500244140625,993.0499877929688,1028.800048828125,1135810,987.2840974763235,986.8871269690629,39.58891904768346,18.025927872796338,,,True,False,False,False,0,
2020-01-10,1028.5,1054.0,1026.800048828125,1039.5,1228226,992.2570405738165,988.9503768918448,43.728877751485626,18.681215251301957,,,True,False,False,False,0,
2020-01-13,1039.5,1046.0,1024.4000244140625,1036.8499755859375,632379,996.503986765447,990.8287925269074,42.94394206729837,18.889698132347352,,,True,False,False,False,0,
2020-01-14,1038.050048828125,1074.9000244140625,1038.0,1070.5,838687,1003.5512261211188,993.9531536042836,54.1888754317149,20.258294610617185,,,True,False,True,False,1,
2020-01-15,1068.449951171875,1085.75,1063.550048828125,1078.25,651549,1010.6653950619647,997.2589122864686,56.3238864112607,20.396984364992743,,,True,False,True,False,1,
2020-01-16,1087.0,1106.8499755859375,1082.050048828125,1102.5999755859375,682319,1019.4210693975812,1001.3899343766437,62.273126392562006,20.98291230934594,,,True,False,True,False,1,
2020-01-17,1102.949951171875,1117.9000244140625,1090.5,1108.8499755859375,728701,1027.9381080821865,1005.6040536397533,63.64206168514506,21.44127745968284,,,True,False,True,False,1,
