Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2020-01-01,6576.5498046875,6615.0,6555.10009765625,6597.64990234375,1764,6597.64990234375,6597.64990234375,,59.89990234375,,,False,False,False,False,0,
2020-01-02,6570.14990234375,6621.0,6570.14990234375,6587.0,2323,6596.635625930059,6597.232259114583,0.0,59.253487723214285,,,False,False,False,False,0,
2020-01-03,6587.0498046875,6625.0,6550.0,6571.64990234375,3646,6594.256033207554,6596.229029437296,0.0,60.378238600127546,,,False,False,False,False,0,
2020-01-06,6613.0,6613.0,6540.0,6592.25,3100,6594.064982425882,6596.072989067206,12.606133197990516,61.27979298583272,,,False,False,False,False,0,
2020-01-07,6592.25,6607.9501953125,6520.0,6554.9501953125,2710,6590.33976460556,6594.46033048859,10.118805060321066,63.18482172345181,,,False,False,False,False,0,
2020-01-08,6560.0,6569.2998046875,6425.0,6448.35009765625,6646,6576.816939181816,6588.730517436342,6.295619423192846,68.97874907802668,,,False,False,False,False,0,
2020-01-09,6490.0,6550.0,6437.14990234375,6456.5498046875,4397,6565.3629263728335,6583.546960073642,9.139406920318848,72.11241683361406,,,False,False,False,False,0,
2020-01-10,6489.9501953125,6492.0,6446.0,6460.14990234375,2427,6555.3426383700635,6578.7078597705095,10.42476996020244,70.24724420264164,,,False,False,False,False,0,
2020-01-13,6489.7998046875,6541.9501953125,6440.0,6490.60009765625,4062,6549.176682111605,6575.2526534130875,20.649678157754394,72.51174071048867,,,False,False,False,False,0,
2020-01-14,6523.7998046875,6530.0,6436.0,6478.5498046875,9660,6542.450312833119,6571.460384835614,19.691718309982022,74.04661637402519,,,False,False,False,False,0,
2020-01-15,6514.0,6528.89990234375,6440.0,6447.89990234375,4335,6533.445511834132,6566.614875718286,17.471569376921863,75.10756537186268,,,False,False,False,False,0,
2020-01-16,6481.0,6500.0,6441.0,6457.35009765625,5753,6526.198329531477,6562.329982460952,20.449653377467413,73.9570249881582,,,False,False,False,False,0,
2020-01-17,6484.0,6498.0,6442.60009765625,6454.0,3363,6519.322298147526,6558.0817478546405,20.171759799256805,72.63151622784333,,,False,False,False,False,0,
2020-01-20,6486.25,6487.0,6390.0,6395.7001953125,5431,6507.548764544191,6551.71384383338,16.077274600383774,74.37212221156882,,,False,False,False,False,0,
2020-01-21,6405.0,6405.0,6312.0,6322.7998046875,6005,6489.953625510221,6542.736822690405,12.626067238033599,75.70268491074248,,,False,False,False,False,0,
2020-01-22,6390.0,6390.0,6280.0,6305.4501953125,17472,6472.381870253295,6533.431464754016,11.96763442179801,78.15249313140373,,,False,False,False,False,0,
2020-01-23,6337.0,6337.0,6282.25,6298.0498046875,3856,6455.778816389887,6524.200811418074,11.687658608890445,76.48088647916062,,,False,False,False,False,0,
2020-01-24,6324.0,6339.0,6272.0,6295.5498046875,5370,6440.518910513469,6515.2341052717775,11.589024048816242,75.80368030207772,,,False,False,False,False,0,
2020-01-27,6275.10009765625,6304.9501953125,6267.0,6273.2001953125,3201,6424.583794780043,6505.742579391022,10.71818581582501,73.09985994567931,,,False,False,False,False,0,
2020-01-28,6297.89990234375,6298.9501953125,6260.0,6273.64990234375,4365,6410.209138357539,6496.640905781325,10.863327268990332,70.6605981861665,,,False,False,False,False,0,
2020-01-29,6280.0,6295.25,6260.0,6269.85009765625,5348,6396.841610671702,6487.74714859995,10.704972805747516,68.13126974429746,6625.0,4994.3,False,False,False,True,1,-0.05360753242924532
2020-01-30,6275.0,6284.9501953125,6250.5,6260.39990234375,2909,6383.847162259516,6478.831570315393,10.302733857869114,65.72547871345478,6625.0,5173.5,False,False,False,False,0,-0.055033977004717016
2020-01-31,6250.0,6274.5,6240.0,6246.85009765625,2501,6370.7998227734915,6469.734257662094,9.737752377295664,63.49508737677944,6625.0,5202.8,False,False,False,False,0,-0.057079230542452786
2020-02-03,6254.9501953125,6400.0,6226.0,6371.60009765625,7586,6370.876039428993,6465.885859230492,41.5293264054072,71.3882954212952,6613.0,5145.55,False,False,False,True,1,-0.03650384127381667
2020-02-04,6447.89990234375,6529.0,6381.0,6456.85009765625,11771,6379.064044974446,6465.531515639345,53.565428127420006,77.53198163004197,6607.9501953125,5369.85,False,False,True,True,2,-0.02286640988357269
2020-02-05,6509.7998046875,6525.9501953125,6460.0,6498.7998046875,12146,6390.467450661404,6466.836154425548,58.13255843729408,76.92970420334254,6569.2998046875,5822.9,False,False,True,True,2,-0.010731737338231184
2020-02-06,6529.0,6529.0,6388.0,6405.39990234375,4731,6391.889588916865,6464.426889638026,47.03917908007163,81.50615390310378,6550.0,6097.9,False,False,False,False,0,-0.022076350787213705
2020-02-07,6405.39990234375,6436.85009765625,6325.0,6351.75,4149,6388.066770924783,6460.008188083594,42.07266524423429,83.67357845689993,6541.9501953125,6114.6,False,False,False,False,0,-0.029073928971330876
2020-02-10,6379.9501953125,6385.9501953125,6352.0498046875,6365.7001953125,3851,6385.93662086647,6456.309835425905,43.73614468996242,80.13976537515708,6541.9501953125,6200.7,False,False,False,False,0,-0.026941507461534675
2020-02-11,6370.0,6405.9501953125,6370.0,6389.4501953125,3022,6386.271247004186,6453.687888754791,46.550294529015964,77.29049641978872,6530.0,6190.15,False,False,False,False,0,-0.0215237066902757
2020-02-12,6406.0,6499.0,6366.5,6413.7001953125,5312,6388.883527795455,6452.119743913917,49.33669819276567,81.23403238980382,6529.0,5858.25,False,False,False,False,0,-0.01765964231697048
2020-02-13,6439.85009765625,6650.0,6323.0,6355.5,53939,6385.704144195888,6448.330734348665,43.478421653984384,98.78874436196068,6529.0,5907.1,False,False,False,True,1,-0.026573747894011346
2020-02-14,6358.0,6410.0,6230.0,6260.64990234375,8672,6373.794216400446,6440.970701721021,35.98015557163224,104.58954833610636,6650.0,8316.4,False,False,False,True,1,-0.05854888686560156
2020-02-17,6289.64990234375,6289.64990234375,6118.0,6133.25,7861,6350.885243409928,6428.903223222158,28.796536034599157,109.37957362236664,6650.0,8581.85,False,False,False,False,0,-0.07770676691729328
2020-02-18,6130.2998046875,6130.2998046875,5845.5498046875,5917.35009765625,19136,6309.596181909577,6408.842316337221,21.10603059589883,122.1167608859476,6650.0,8703.35,False,False,False,True,1,-0.11017291764567672
2020-02-19,5946.89990234375,6071.9501953125,5890.0,5993.2998046875,21792,6279.472717412236,6392.546531566644,28.354736186953403,126.39057763070134,6650.0,9359.9,False,False,False,True,1,-0.0987519090695489
2020-02-20,6000.0,6036.0,5891.0,5909.39990234375,7172,6244.227687405713,6373.599604930452,25.56083103214054,127.71982208565126,6650.0,9575.9,False,False,False,False,0,-0.11136843573778199
2020-02-24,5944.0,5944.0,5850.0,5858.5,4530,6207.491717176597,6353.399620423376,24.0148435041433,125.3112633652476,6650.0,9741.7,False,False,False,False,0,-0.11902255639097747
2020-02-25,5875.0,5879.64990234375,5809.0,5818.85009765625,4558,6170.478229603231,6332.436894040352,22.855196444168,121.40688043514062,6650.0,9699.7,False,False,False,False,0,-0.12498494772086466
2020-02-26,5818.85009765625,5899.9501953125,5800.5,5832.85009765625,3262,6138.323169417804,6312.845254966465,24.246177513296615,119.83854578352344,6650.0,9767.55,False,False,False,False,0,-0.12287968456296994
2020-02-27,5861.2998046875,5861.2998046875,5787.0,5796.0498046875,21001,6105.725706110156,6292.578766720231,23.068718147243885,116.58577856237892,6650.0,9712.4,False,False,False,True,1,-0.12841356320488717
2020-02-28,5762.0,5848.0,5699.89990234375,5796.2001953125,10725,6076.247086034189,6273.112940390517,23.08515682864605,118.8368013547983,6650.0,10495.05,False,False,False,True,1,-0.1283909480733083
2020-03-02,5796.2001953125,5890.0,5695.0,5765.0498046875,7076,6046.609249715457,6253.188895853144,22.034883851473822,124.27702982945557,6650.0,10885.85,False,False,False,False,0,-0.13307521734022554
2020-03-03,5770.0,5950.0,5770.0,5873.0,4261,6030.075035456842,6238.279527388314,33.3512276962677,128.61082736395875,6650.0,11114.6,False,False,False,False,0,-0.11684210526315786
2020-03-04,5899.0,5998.0,5651.2001953125,5719.2001953125,12513,6000.467907824047,6217.923475150047,27.276675401993487,144.19575431564027,6650.0,10948.35,False,False,False,True,1,-0.13996989544172933
2020-03-05,5747.7998046875,5799.0,5666.0,5771.64990234375,4166,5978.675716825923,6200.422550726272,31.836285084744603,143.39605757880884,6650.0,10985.45,False,False,False,False,0,-0.13208272145206768
2020-03-06,5650.0,5757.89990234375,5650.0,5725.14990234375,3251,5954.530401160953,6181.784407652448,30.038152426757506,141.84276077630463,6650.0,10586.45,False,False,False,False,0,-0.13907520265507523
2020-03-09,5700.0,5759.10009765625,5555.60009765625,5628.89990234375,10577,5923.517972702172,6160.102662346224,26.679194763629113,146.24684929228286,6650.0,10512.45,False,False,False,True,1,-0.15354888686560153
2020-03-11,5630.0,5697.0,5619.9501953125,5663.14990234375,3269,5898.721013620418,6140.614318816715,29.692063334571188,141.3042032490841,6650.0,10833.85,False,False,False,False,0,-0.14839851092575185
2020-03-12,5639.9501953125,5639.9501953125,5350.0,5398.2998046875,12221,5851.061850864902,6111.503945713609,22.121972973759426,153.57889604156026,6650.0,10804.75,False,False,False,True,1,-0.18822559328007515
2020-03-13,5350.0,5884.10009765625,4900.0,5397.0,8414,5807.817865068245,6083.484183136606,22.09220410188165,212.9018390140381,6650.0,11264.7,False,False,False,False,0,-0.18842105263157893
2020-03-16,5373.0,5400.0,5100.14990234375,5203.35009765625,6679,5750.249506267102,6048.9691209609055,18.169352815282238,219.11242891705325,6650.0,11419.8,False,False,False,False,0,-0.21754133869830827
2020-03-17,5200.0,5283.7001953125,5056.4501953125,5098.85009765625,7870,5688.211467351783,6011.709551419547,16.469799470350495,219.6936839944066,6410.0,9056.8,False,False,False,False,0,-0.20454756666829177
2020-03-18,5160.0,5170.9501953125,4947.89990234375,4992.5,7974,5621.953232365899,5971.7405494030945,14.938344924260136,219.93344177828828,6289.64990234375,9016.7,False,False,False,False,0,-0.2062356287685242
2020-03-19,4900.0,4921.60009765625,4556.89990234375,4806.4501953125,13408,5544.2862764560505,5926.042888458365,12.711505949628275,235.33820291242841,6130.2998046875,9022.35,False,False,False,True,1,-0.21595185415935547
2020-03-20,4806.5,4999.89990234375,4806.5,4954.9501953125,7383,5488.159030632855,5887.960822060488,22.625853128919033,232.34616749234425,6071.9501953125,8735.95,False,False,False,False,0,-0.18396066569556446
2020-03-23,4766.60009765625,4795.14990234375,4500.0,4655.35009765625,8858,5408.843894158893,5839.623146593654,18.147452263763128,248.24645519378393,6036.0,8015.5,False,False,False,True,1,-0.2287359016474072
2020-03-24,4710.0,4799.0,4450.0,4620.35009765625,6555,5333.749246872927,5791.808517223561,17.70652979238389,255.4431369656565,5998.0,8099.8,False,False,False,False,0,-0.2296848786835195
2020-03-25,4600.0,4874.39990234375,4600.0,4852.5,5200,5287.915985265981,5754.972889097146,29.87663811287007,256.79719163552033,5998.0,8201.05,False,False,False,False,0,-0.19098032677559185
2020-03-26,4866.60009765625,5099.89990234375,4790.0,5059.2001953125,4537,5266.133529079935,5727.687685419318,38.585423597846685,260.5902424003939,5998.0,8233.15,False,False,False,False,0,-0.15651880705026677
2020-03-27,5200.0,5359.10009765625,5050.0,5235.0498046875,5239,5263.173174375894,5708.368552841599,44.859512519872034,264.05523206152645,5998.0,8296.9,False,False,False,False,0,-0.1272007661407969
2020-03-30,5100.0,5499.89990234375,4900.0,5386.35009765625,8794,5274.904309926404,5695.740378128448,49.62770713559772,288.0441370816853,5998.0,7508.8,False,False,False,True,1,-0.10197564227138212
2020-03-31,5400.0,5539.9501953125,5275.5498046875,5470.10009765625,18508,5293.494384948293,5686.891739678558,52.097017373279556,286.3552980490649,5998.0,7412.25,False,False,True,True,2,-0.0880126546088279
2020-04-01,5411.60009765625,5549.9501953125,5060.0,5160.2998046875,11103,5280.809186828218,5666.241075561262,43.58548898823908,300.8977907107389,5998.0,7983.85,False,False,False,True,1,-0.1396632536366289
2020-04-03,5161.2001953125,5300.0,4980.0,5037.0498046875,6002,5257.594007576721,5641.566908076017,40.73418506818686,302.2622342314004,5998.0,8325.95,False,False,False,False,0,-0.16021176980868623
2020-04-07,5180.0,5228.7998046875,5060.0,5147.7998046875,3706,5247.137416825367,5622.203492256859,44.26267742973026,294.3685032148718,5884.10009765625,8000.4,False,False,False,False,0,-0.12513388296402916
2020-04-08,5234.0,5290.0,5152.10009765625,5205.25,2934,5243.148139032475,5605.852374913454,46.05680789754144,283.4993383647024,5884.10009765625,7977.4,False,False,False,False,0,-0.11537024972206866
2020-04-09,5221.0,5362.9501953125,5206.5,5341.5498046875,4241,5252.519726237715,5595.487568237926,50.15609543099536,274.5136852895451,5884.10009765625,7961.55,False,False,True,False,1,-0.09220616304349716
2020-04-13,5400.0,5439.89990234375,5251.0,5327.5,2824,5259.660704691266,5584.978251836439,49.73652304471733,268.39841507913115,5884.10009765625,7644.75,False,False,False,False,0,-0.09459392063672656
2020-04-15,5285.0,5498.0,5265.0,5338.0498046875,5103,5267.126333262336,5575.2947833207945,50.07425066939339,265.8699568591932,5884.10009765625,7622.5,False,False,True,False,1,-0.09280098637109391
2020-04-16,5330.0,5543.9501953125,5251.0,5447.64990234375,12079,5284.319054127232,5570.289101713852,53.564940565143054,267.80425960585796,5884.10009765625,7266.6,False,False,True,True,2,-0.07417450214457544
2020-04-17,5520.0,5559.0,5415.0498046875,5449.64990234375,13679,5300.064849195473,5565.558152718946,53.62865533292452,258.95754072776094,5549.9501953125,7449.85,False,False,True,True,2,-0.0180722870366411
2020-04-20,5499.0,5519.9501953125,5470.0,5500.25,6230,5319.130101653046,5562.997048690752,55.29978353255528,245.48202303068874,5559.0,7799.85,False,False,True,False,1,-0.010568447562511296
2020-04-21,5470.0,5498.0,5361.2001953125,5376.0,6055,5324.546282447994,5555.663831095037,50.48828434296816,237.87972172046096,5559.0,7717.85,False,False,True,False,1,-0.03291958985429033
2020-04-22,5376.0,5395.0,5280.0,5321.64990234375,3382,5324.27043672378,5546.486814281261,48.5004008455797,229.10259874042805,5559.0,7621.9,False,False,False,False,0,-0.04269654571977877
