Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2020-01-01,27350.0,27415.650390625,27050.0,27137.94921875,657,27137.94921875,27137.94921875,,365.650390625,,,False,False,False,False,0,
2020-01-02,27289.0,27498.80078125,27015.0,27107.80078125,2060,27135.077938988095,27136.766927083336,0.0,374.08970424107144,,,False,False,False,False,0,
2020-01-03,27022.0,27249.94921875,27021.0,27102.19921875,337,27131.94663229875,27135.411330678107,0.0,363.72252670599494,,,False,False,False,False,0,
2020-01-06,27289.0,27289.0,26500.05078125,26646.099609375,4458,27085.67548725839,27116.222635725044,0.0,394.0958618519953,,,False,False,False,False,0,
2020-01-07,26750.0,27190.55078125,26615.0,26882.75,3882,27066.34925037664,27107.06684608877,23.595650188067992,407.0569275232814,,,False,False,False,False,0,
2020-01-08,26725.0,26806.0,26452.05078125,26624.849609375,4099,27024.30166551934,27088.15636621764,18.478500394473983,408.74566261090416,,,False,False,False,False,0,
2020-01-09,26698.650390625,27200.0,26600.05078125,27125.44921875,1120,27033.93476582702,27089.61883102283,43.90729423094519,422.4030594779824,,,False,False,False,False,0,
2020-01-10,27050.0,27450.0,27050.0,27306.30078125,1726,27059.874386343497,27098.11616240429,49.97789916272884,420.8028409438408,,,False,False,False,False,0,
2020-01-13,27599.94921875,27599.94921875,26840.0,27002.5,2826,27054.41015907269,27094.366508976673,41.79509430111085,445.02758221570934,,,False,False,False,False,0,
2020-01-14,27170.0,27170.0,26750.0,26800.0,18974,27030.180620113388,27082.82272431092,37.39956143122835,443.2398977717301,,,False,False,False,False,0,
2020-01-15,26810.0,27769.94921875,26810.0,27331.650390625,949,27058.89202682878,27092.580672009513,51.74755924697991,480.86199212732083,,,False,False,True,False,1,
2020-01-16,27230.099609375,27999.0,27230.099609375,27923.150390625,2182,27141.202347190327,27125.152033523846,62.14357294962396,501.4361634485836,,,True,False,True,False,1,
2020-01-17,27999.94921875,28000.0,27505.099609375,27975.75,2050,27220.68307602934,27158.508816522914,62.908870061304015,500.9693225326134,,,True,False,True,False,1,
2020-01-20,28161.44921875,28205.900390625,27390.0,27433.44921875,1313,27240.946518193214,27169.29079308084,51.3769599287737,523.4643988249267,,,True,False,True,False,1,
2020-01-21,27427.650390625,27529.94921875,27206.05078125,27272.94921875,709,27243.994394436715,27173.35582938159,48.5408921315089,509.2096873017176,,,True,False,False,False,0,
2020-01-22,27350.05078125,27399.30078125,26847.69921875,26957.599609375,771,27216.718700621313,27164.894801146038,43.464189393718236,512.2376783873092,,,True,False,False,False,0,
2020-01-23,26999.0,27049.900390625,26800.0,26895.099609375,900,27186.08831097881,27154.314597547174,42.51513747505488,493.4993006900014,,,True,False,False,False,0,
2020-01-24,27199.0,27199.0,26800.0,26997.80078125,1693,27168.15616529035,27148.17680082964,44.65372414551206,486.7493506407156,,,True,False,False,False,0,
2020-01-27,26995.0,27650.0,26899.75,27504.0,985,27200.14129240556,27162.130651777497,53.78071009816245,505.57082559495024,,,True,False,True,False,1,
2020-01-28,27320.0,27818.900390625,27135.0,27690.55078125,3577,27246.84695800979,27182.853009796025,56.619871596265824,518.3086516685252,,,True,False,True,False,1,
2020-01-29,27660.0,28000.0,27639.94921875,27948.44921875,1137,27313.66622093743,27212.87639053932,60.254738468057965,507.00451806720196,28205.900390625,2763.4,True,False,True,False,1,-0.009127564385803866
2020-01-30,28050.0,28119.44921875,27800.099609375,27893.55078125,1017,27368.89332191958,27239.569503900526,59.11914784468368,493.60059601775896,28205.900390625,2787.4,True,False,True,False,1,-0.01107391024747495
2020-01-31,28085.0,28150.0,27644.25,28002.25,586,27429.213005546284,27269.47854296325,60.69854147501194,494.46841058791904,28205.900390625,2735.25,True,False,True,False,1,-0.007220134362124098
2020-02-03,27879.900390625,28296.80078125,27533.75,27766.69921875,1527,27461.354549660922,27288.977392994104,55.678569203109866,513.6528656352106,28205.900390625,2747.7,True,False,True,False,1,-0.015571251610212
2020-02-04,29299.0,33320.0,29299.0,32675.75,19696,27957.963640169408,27500.223377582573,84.48228444157367,873.6277167505526,28296.80078125,2601.15,True,True,True,True,2,0.15475068197997754
2020-02-05,32600.0,35499.25,32255.0,34019.3984375,21183,28535.243144677082,27755.877301500903,86.97698819829861,1042.9578798397988,33320.0,3391.85,True,True,True,True,2,0.020990349264705888
